"Nimi" "Joukkue" "Syntymäpaikka" "Kansalaisuus" "Syntymäaika" "Ikä" "Pituus" "Paino" "Maila" "KK" "VVVV" "ika" "kausi"
"117" "Keskitalo, Miro*+" "TPS" "Vantaa, FIN" "FIN" 1996-02-16 22 "189" "85" "L" 2 1996 19 16
"118" "Kestilä, Aku*" "Kärpät" "Pyhäjoki, FIN" "FIN" 1994-06-09 24 "181" "78" "L" 6 1994 21 16
"119" "Kettunen, Janne*" "SaiPa" "Lappeenranta, FIN" "FIN" 1994-08-11 24 "175" "94" "L" 8 1994 21 16
"120" "Kiilholma, Juha" "Ässät" "Pori, FIN" "FIN" 1982-06-26 36 "182" "84" "L" 6 1982 33 16
"121" "Kilpeläinen, Eero" "KalPa" "Juva, FIN" "FIN" 1985-05-07 33 "183" "74" "L" 5 1985 30 16
"122" "Kinnunen, Saku" "KalPa" "Kuhmo, FIN" "FIN" 1995-01-03 23 "178" "85" "L" 1 1995 20 16
"123" "Kinnunen, Severi*" "KalPa" "-" "FIN" 1997-06-14 21 "181" "80" "L" 6 1997 18 16
"124" "Kiviaho, Henri" "Ilves" "Lappeenranta, FIN" "FIN" 1994-02-26 24 "192" "90" "L" 2 1994 21 16
"125" "Kivimäki, Samuli" "Sport" "Vaasa, FIN" "FIN" 1988-08-29 30 "187" "92" "R" 8 1988 27 16
"126" "Kiviranta, Joel" "Sport" "Vantaa, FIN" "FIN" 1996-03-23 22 "179" "80" "L" 3 1996 19 16
"127" "Koho, Ville" "SaiPa" "Imatra, FIN" "FIN" 1982-02-27 36 "177" "84" "L" 2 1982 33 16
"128" "Koivisto, Henrik" "Sport" "Kerava, FIN" "FIN" 1990-04-09 28 "180" "82" "L" 4 1990 25 16
"129" "Koivisto, Juha" "HPK" "Vantaa, FIN" "FIN" 1984-05-04 34 "179" "85" "R" 5 1984 31 16
"130" "Koivisto, Kimi*" "Pelicans" "Heinola, FIN" "FIN" 1992-12-31 25 "181" "82" "L" 12 1992 23 16
"131" "Koivisto, Miika" "Lukko" "Vaasa, FIN" "FIN" 1990-07-20 28 "184" "88" "L" 7 1990 25 16
"132" "Koivisto, Mika" "KooKoo" "Kiiminki, FIN" "FIN" 1992-06-05 26 "180" "78" "L" 6 1992 23 16
"133" "Koivisto, Toni" "Lukko" "Ylitornio, FIN" "FIN" 1982-11-05 36 "185" "87" "L" 11 1982 33 16
"134" "Koivistoinen, Eetu*" "Lukko" "Tampere, FIN" "FIN" 1995-07-13 23 "189" "95" "L" 7 1995 20 16
"135" "Koivula, Otto*" "Ilves" "Nokia, FIN" "FIN" 1998-09-01 20 "193" "100" "L" 9 1998 17 16
"136" "Kojo, Markus*" "TPS" "Noormarkku, FIN" "FIN" 1994-03-30 24 "194" "101" "L" 3 1994 21 16
"137" "Kokkala, Lassi" "Sport" "Turku, FIN" "FIN" 1989-03-20 29 "187" "92" "L" 3 1989 26 16
"138" "Kolehmainen, Janne" "JYP" "Lappeeranta, FIN" "FIN" 1986-03-22 32 "190" "101" "L" 3 1986 29 16
"139" "Komulainen, Joonas" "Sport" "Kuhmo, FIN" "FIN" 1990-06-01 28 "165" "79" "L" 6 1990 25 16
"140" "Komulainen, Mikko" "KalPa" "-" "FIN" 1994-03-04 24 "178" "77" "L" 3 1994 21 16
"141" "Koponen, Marlo" "KooKoo" "Imatra, FIN" "FIN" 1986-12-13 31 "185" "85" "L" 12 1986 29 16
"142" "Korhonen, Riku*" "KalPa" "-" "FIN" 1996-02-21 22 "179" "75" "R" 2 1996 19 16
"143" "Koskiranta, Tero" "Sport" "Paimio, FIN" "FIN" 1984-06-18 34 "186" "94" "L" 6 1984 31 16
"144" "Kukkonen, Mikko" "Blues" "Siilinjärvi, FIN" "FIN" 1988-01-19 30 "184" "84" "L" 1 1988 27 16
"145" "Kukkonen, Lasse" "Kärpät" "Oulu, FIN" "FIN" 1981-09-18 37 "183" "85" "L" 9 1981 34 16
"146" "Kulmala, Arttu*" "Ässät" "-" "FIN" 1997-01-08 21 "184" "73" "L" 1 1997 18 16
"147" "Kuokkanen, Janne" "Kärpät" "-" "FIN" 1998-05-25 20 "180" "77" "L" 5 1998 17 16
"148" "Kuparinen, Matti" "Ässät" "Pori, FIN" "FIN" 1984-10-16 34 "180" "94" "R" 10 1984 31 16
"149" "Kurki, Mikael" "KooKoo" "Helsinki, FIN" "FIN" 1987-01-13 31 "180" "85" "L" 1 1987 28 16
"150" "Kuronen, Mikael" "SaiPa" "Tampere, FIN" "FIN" 1992-03-14 26 "182" "77" "R" 3 1992 23 16
"151" "Kuukka, Mikko+" "Blues" "Hämeenkyrö, FIN" "FIN" 1985-11-03 33 "193" "92" "L" 11 1985 30 16
"152" "Kuusela, Kristian" "Tappara" "Seinäjoki, FIN" "FIN" 1983-02-19 35 "175" "84" "R" 2 1983 32 16
"153" "Kähkönen, Kaapo*" "Blues" "Helsinki, FIN" "FIN" 1996-08-16 22 "187" "98" "L" 8 1996 19 16
"154" "Kärki, Jarno" "Ässät" "Pori, FIN" "FIN" 1994-10-13 24 "194" "97" "L" 10 1994 21 16
"155" "Körkkö, Tomi" "Sport" "Oulu, FIN" "FIN" 1991-03-26 27 "182" "82" "L" 3 1991 24 16
"156" "Laakso, Aleksi" "Sport" "Seinäjoki, FIN" "FIN" 1990-03-16 28 "181" "84" "L" 3 1990 25 16
"157" "Laakso, Leevi*" "Sport" "Kuopio, FIN" "FIN" 1998-06-12 20 "183" "76" "L" 6 1998 17 16
"158" "Laakso, Tapio" "Ilves" "Rymättylä, FIN" "FIN" 1985-06-28 33 "183" "90" "L" 6 1985 30 16
"159" "Laatikainen, Arto" "Kärpät" "Espoo, FIN" "FIN" 1980-05-24 38 "181" "83" "L" 5 1980 35 16
"160" "Lahti, Janne" "Lukko" "Riihimäki, FIN" "FIN" 1982-07-20 36 "189" "91" "L" 7 1982 33 16
"161" "Lahti, Miika" "JYP" "Konnevesi, FIN" "FIN" 1987-02-06 31 "188" "100" "L" 2 1987 28 16
"162" "Lahtinen, Timi" "Blues" "Helsinki, FIN" "FIN" 1995-01-06 23 "190" "93" "L" 1 1995 20 16
"163" "Laine, Patrik*" "Tappara" "-" "FIN" 1998-04-19 20 "194" "91" "R" 4 1998 17 16
"164" "Lajunen, Jani" "Tappara" "Espoo, FIN" "FIN" 1990-06-16 28 "189" "97" "L" 6 1990 25 16
"165" "Lamberg, Matti" "HIFK" "Kiiminki, FIN" "FIN" 1993-01-06 25 "180" "80" "R" 1 1993 22 16
"166" "Lammassaari, Petri" "KooKoo" "Eurajoki, FIN" "FIN" 1985-08-06 33 "178" "78" "R" 8 1985 30 16
"167" "Lankinen, Kevin" "HIFK" "Helsinki, FIN" "FIN" 1995-04-28 23 "186" "82" "L" 4 1995 20 16
"168" "Lappalainen, Lasse" "SaiPa" "Kuopio, FIN" "FIN" 1989-06-07 29 "190" "94" "L" 6 1989 26 16
"169" "Lassila, Teemu" "TPS" "Helsinki, FIN" "FIN" 1983-03-26 35 "183" "84" "L" 3 1983 32 16
"170" "Latvala, Jan" "Pelicans" "Jyväskylä, FIN" "FIN" 1972-06-10 46 "178" "81" "L" 6 1972 43 16
"171" "Lehikoinen, Esa" "Sport" "-" "FIN" 1986-04-17 32 "181" "90" "L" 4 1986 29 16
"172" "Lehtivuori, Joonas+" "HPK" "Pirkkala, FIN" "FIN" 1988-07-19 30 "183" "81" "L" 7 1988 27 16
"173" "Lehtonen, Antti+" "Kärpät" "Jyväskylä, FIN" "FIN" 1993-08-06 25 "183" "80" "L" 8 1993 22 16
"174" "Lehtonen, Jussi*" "Ässät" "-" "FIN" 1995-09-05 23 "180" "70" "L" 9 1995 20 16
"175" "Lehtonen, Mikko" "KooKoo" "Turku, FIN" "FIN" 1994-01-16 24 "182" "85" "L" 1 1994 21 16
"176" "Leimu, Juha" "Pelicans" "Tampere, FIN" "FIN" 1983-01-30 35 "185" "84" "L" 1 1983 32 16
"177" "Leino, Robert" "HIFK" "Hämeenlinna, FIN" "FIN" 1993-04-14 25 "182" "83" "R" 4 1993 22 16
"178" "Leivo, Tomi" "SaiPa" "Lappeenranta, FIN" "FIN" 1989-09-24 29 "180" "85" "L" 9 1989 26 16
"179" "Leskinen, Otto*" "KalPa" "Pieksämäki, FIN" "FIN" 1997-02-06 21 "181" "85" "L" 2 1997 18 16
